lemma	pos	alternation	flags	surface	krdict_ids	stdict_ids	opendict_ids	status
되지르다	VV	ReuDoubleL				91027:91027001	132865:1	review
되통스럽다	VA	BToWo				90845:90845001	565965:1	productive-duplicate
될성부르다	VA	ReuDoubleL				415090:415090001	133944:1	review
두껍다	VA	BToWo			48277	414576:414576001	440998:1|445107:1|448136:1	promoted
두껍다랗다	VA	DropH				91671:91671001	529115:1	review
두껍디두껍다	VA	BToWo				91054:91054001	492542:1	review
두남받다	VV	Regular				90481:90481001	381929:1	regular-control
두렵다	VA	BToWo			14925	416599:416599001	2067:1|38712:1	promoted
두르다	VV	ReuDoubleL			14928	411945:411945001	132880:1|30259:1|31016:1|61281:1|61668:1|68617:1|69106:1|70908:1|71625:1|72024:1	promoted
두텁다	VA	BToWo			48292	415179:415179001	135604:1	promoted
둔스럽다	VA	BToWo				415185:415185001	456157:1	productive-duplicate
둔팍스럽다	VA	BToWo				417094:417094001	551329:1|555437:1|558314:1	productive-duplicate
둔판스럽다	VA	BToWo				90027:90027001	1879:1|38549:1|64518:1	productive-duplicate
둘러놓다	VV	Regular				419863:419863001	551337:1|555446:1	regular-control
둘러쌓다	VV	Regular				92488:92488001	566153:1	regular-control
둘러업다	VV	Regular				414909:414909001	134615:1	regular-control
둥그렇다	VA	DropH			50261			review
뒤구르다	VV	ReuDoubleL				93211:93211001	1822:1|38481:1	review
뒤까부르다	VV	ReuDoubleL				92312:92312001	382246:1	review
뒤내려긋다	VV	DropS				91705:91705001	345832:1	review
뒤넘스럽다	VA	BToWo				91709:91709001	419014:1	productive-duplicate
뒤놓다	VV	Regular				419866:419866001	135857:1	regular-control
뒤눕다	VV	BToWo				419867:419867001	551343:1	review
뒤닫다	VV	DToL				419513:419513001	367583:1|371681:1	review
뒤따르다	VV	Regular	EU_DROP		14991	415404:415404001	1921:1|38604:1|589364:1	regular-control
뒤무르다	VA	ReuDoubleL				94339:94339001	137059:1	review
뒤묻다	VV	Regular				93415:93415001	345963:1	regular-control
뒤바르다	VV	ReuDoubleL				419837:419837001	137270:1	review
뒤받다	VV	Regular			58033	93967:93967001	30338:1|61378:1	regular-control
뒤변덕스럽다	VA	BToWo				415791:415791001	134432:1	productive-duplicate
뒤숭숭스럽다	VA	BToWo				91369:91369001	134826:1	productive-duplicate
뒤스럭스럽다	VA	BToWo				417190:417190001	134827:1	productive-duplicate
뒤스르다	VV	ReuDoubleL				91377:91377001	2177:1|38848:1	review
뒤웅스럽다	VA	BToWo				419647:419647001	135446:1	productive-duplicate
뒤잇다	VV	DropS			58042	419660:419660001	345784:1	promoted
뒤잡다	VV	Regular				419272:419272001	135451:1	regular-control
뒤젓다	VV	DropS				92747:92747001	529426:1	review
뒤지르다	VV	ReuDoubleL				93835:93835001	136053:1	review
뒤집다	VV	Regular			66269	417372:417372001	1544:1|38168:1|64628:1|69095:1|71854:1|72417:1|72489:1	regular-control
뒤퉁스럽다	VA	BToWo				93463:93463001	492999:1	productive-duplicate
드나르다	VV	ReuDoubleL					621549:1	review
드다르다	VA	ReuDoubleL				92873:92873001	134458:1	review
드러눕다	VV	BToWo			50958	93854:93854001	440946:1|445232:1	promoted
드솟다	VV	Regular				417928:417928001	514667:1|518821:1	regular-control
드습다	VA	BToWo				415919:415919001	134469:1	review
든적스럽다	VA	BToWo				417514:417514001	136490:1	productive-duplicate
듣그럽다	VA	BToWo				93594:93594001	136678:1	review
듣다	VV	DToL			50557|74104	417319:417319001|93600:93600001	1175509:1|136684:1|136685:1|136686:1|1699066:1|30299:1|31024:1|61376:1|61715:1|68656:1	core-duplicate
듣잡다	VV	BToWa			50558	419817:419817001	419099:1	promoted
들까부르다	VV	ReuDoubleL				93765:93765001	137322:1	review
들놓다	VV	Regular				417509:417509001|93758:93758001|93759:93759001	134658:1|134659:1|418883:1	regular-control
들문지르다	VV	ReuDoubleL				94945:94945001	566327:1	review
들붓다	VV	DropS				95163:95163001	136493:1	review
들솟다	VV	Regular				417135:417135001	136500:1	regular-control
들싸업다	VV	Regular					621554:1	regular-control
들어붓다	VV	DropS			51123	94307:94307001	137105:1|31021:1|61712:1	promoted
들여놓다	VV	Regular			15050	417507:417507001	137333:1|137334:1|30292:1|61332:1	regular-control
들여쌓다	VV	Regular				95359:95359001	566111:1	regular-control
들이곱다	VV	Regular				93606:93606001	134674:1	regular-control
들이굽다	VV	Regular				416464:416464001	492784:1	regular-control
들이긋다	VV	DropS				416466:416466001|93607:93607001|93608:93608001|93609:93609001	134675:1|134676:1|345704:1|455906:1	review
들이닫다	VV	DToL				94052:94052001	418909:1	review
들이닿다	VV	Regular				93628:93628001	134872:1	regular-control
들이대지르다	VV	ReuDoubleL				93460:93460001	134874:1	review
들이돋다	VV	Regular				93516:93516001	135064:1	regular-control
들이마르다	VV	ReuDoubleL				93520:93520001|93521:93521001	135066:1|566213:1	review
들이받다	VV	Regular			49649	93827:93827001	404036:1|408248:1	regular-control
들이붓다	VV	DropS			49664	417496:417496001|93845:93845001	135281:1|492853:1	promoted
들이쌓다	VV	Regular				95725:95725001|95726:95726001	135512:1|345791:1	regular-control
들이웃다	VV	Regular				95790:95790001	566267:1	regular-control
들이조르다	VV	ReuDoubleL				95659:95659001	135712:1	review
